Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,Salary,SalaryType,ConvertedSalary
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Data scientist or machine learning specialist;Designer;Front-end developer,15-17 years,80000.0,,80000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Data scientist or machine learning specialist,6-8 years,94500.0,,94500.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist,9-11 years,240000.0,,240000.0
Yes,Yes,United States,No,Employed part-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist,9-11 years,61000.0,,61000.0
Yes,No,United States,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Data scientist or machine learning specialist;Educator or academic researcher;Front-end developer;QA or test developer;Student,6-8 years,81000.0,,81000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist;Engineering manager,18-20 years,194000.0,Yearly,194000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Data scientist or machine learning specialist,3-5 years,105000.0,Yearly,105000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;QA or test developer,12-14 years,72000.0,Yearly,72000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist;Full-stack developer,12-14 years,150000.0,Yearly,150000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Database administrator;Designer;Embedded applications or devices developer;Front-end developer;Full-stack developer;Game or graphics developer;QA or test developer;System administrator,15-17 years,130000.0,Yearly,130000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator,9-11 years,90000.0,Yearly,90000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Data scientist or machine learning specialist,30 or more years,75000.0,,75000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Full-stack developer,3-5 years,105000.0,Yearly,105000.0
No,No,United States,No,Employed full-time,Some college/university study without earning a degree,"A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Data scientist or machine learning specialist,3-5 years,154000.0,Yearly,154000.0
Yes,Yes,United States,"Yes, full-time",Employed part-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Data scientist or machine learning specialist;Educator or academic researcher;Student,3-5 years,17500.0,Yearly,17500.0
No,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Mobile developer,30 or more years,205000.0,,205000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","5,000 to 9,999 employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Embedded applications or devices developer;Engineering manager;Full-stack developer;Product manager,3-5 years,4100.0,Monthly,49200.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist,3-5 years,75000.0,,75000.0
Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Full-stack developer,30 or more years,115000.0,Yearly,115000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Data scientist or machine learning specialist,9-11 years,85000.0,Yearly,85000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist;Database administrator;Desktop or enterprise applications developer;Engineering manager,9-11 years,80000.0,Weekly,2000000.0
No,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",500 to 999 employees,Data scientist or machine learning specialist,9-11 years,116000.0,Yearly,116000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Data scientist or machine learning specialist;DevOps specialist,6-8 years,85000.0,Yearly,85000.0
No,Yes,United States,"Yes, full-time",Employed part-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Data scientist or machine learning specialist,12-14 years,35000.0,,35000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;Product manager;QA or test developer,18-20 years,195000.0,Yearly,195000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,"10,000 or more employees",Data scientist or machine learning specialist,6-8 years,120524.0,Yearly,120524.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Engineering manager,6-8 years,120000.0,,120000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Data scientist or machine learning specialist;Desktop or enterprise applications developer;Educator or academic researcher;Product manager,18-20 years,100000.0,Yearly,100000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Engineering manager,30 or more years,177000.0,,177000.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;System administrator",30 or more years,120000.0,Yearly,120000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Data scientist or machine learning specialist;Desktop or enterprise applications developer;Game or graphics developer,18-20 years,135441.0,Yearly,135441.0
Yes,Yes,United States,"Yes, full-time",Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Data scientist or machine learning specialist;Educator or academic researcher;Embedded applications or devices developer;Student,3-5 years,2200.0,Monthly,26400.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist,3-5 years,80000.0,,80000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)","1,000 to 4,999 employees",Data scientist or machine learning specialist,12-14 years,92000.0,Yearly,92000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Designer;Front-end developer;Full-stack developer,6-8 years,70000.0,,70000.0
No,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A social science (ex. anthropology, psychology, political science)",500 to 999 employees,Data or business analyst;Data scientist or machine learning specialist,6-8 years,115000.0,Yearly,115000.0
